,number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_f_0,params_f_1,params_f_10,params_f_11,params_f_12,params_f_13,params_f_14,params_f_15,params_f_16,params_f_17,params_f_18,params_f_19,params_f_2,params_f_20,params_f_21,params_f_22,params_f_23,params_f_24,params_f_25,params_f_26,params_f_27,params_f_28,params_f_29,params_f_3,params_f_4,params_f_5,params_f_6,params_f_7,params_f_8,params_f_9,params_zscore_range,system_attrs_nsga2:generation,state
3279,3279,-0.6142857142857143,-0.603448275862069,-0.010837438423645374,13.0,2023-07-07 16:31:44.218585,2023-07-07 16:31:44.268419,0 days 00:00:00.049834,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,84,65,COMPLETE
4675,4675,-0.6142857142857143,-0.603448275862069,-0.010837438423645374,13.0,2023-07-07 18:55:49.437602,2023-07-07 18:55:49.489430,0 days 00:00:00.051828,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,84,93,COMPLETE
4673,4673,-0.6142857142857143,-0.5646551724137931,-0.049630541871921174,6.0,2023-07-07 18:55:35.094519,2023-07-07 18:55:35.151329,0 days 00:00:00.056810,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,84,93,COMPLETE
3976,3976,-0.6142857142857143,-0.603448275862069,-0.010837438423645374,13.0,2023-07-07 17:38:02.706993,2023-07-07 17:38:02.758820,0 days 00:00:00.051827,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,84,79,COMPLETE
1678,1678,-0.6142857142857143,-0.603448275862069,-0.010837438423645374,13.0,2023-07-07 14:58:24.310977,2023-07-07 14:58:24.336890,0 days 00:00:00.025913,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,84,33,COMPLETE
5058,5058,-0.6142857142857143,-0.5646551724137931,-0.049630541871921174,7.0,2023-07-07 19:43:54.132665,2023-07-07 19:43:54.186517,0 days 00:00:00.053852,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,84,100,COMPLETE
4859,4859,-0.6142857142857143,-0.5646551724137931,-0.049630541871921174,6.0,2023-07-07 19:18:24.808043,2023-07-07 19:18:24.860867,0 days 00:00:00.052824,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,84,97,COMPLETE
4959,4959,-0.6142857142857143,-0.5646551724137931,-0.049630541871921174,6.0,2023-07-07 19:31:05.312971,2023-07-07 19:31:05.401212,0 days 00:00:00.088241,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,84,99,COMPLETE
4309,4309,-0.6142322097378277,-0.5905172413793104,-0.023714968358517274,6.0,2023-07-07 18:13:31.087407,2023-07-07 18:13:31.141227,0 days 00:00:00.053820,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,75,86,COMPLETE
5485,5485,-0.6122448979591837,-0.5689655172413793,-0.04327938071780435,7.0,2023-07-07 20:41:52.451833,2023-07-07 20:41:52.507646,0 days 00:00:00.055813,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,84,109,COMPLETE
