,Unnamed: 0,number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_f_0,params_f_1,params_f_10,params_f_11,params_f_12,params_f_13,params_f_14,params_f_15,params_f_16,params_f_17,params_f_18,params_f_19,params_f_2,params_f_20,params_f_21,params_f_22,params_f_23,params_f_24,params_f_25,params_f_26,params_f_27,params_f_28,params_f_29,params_f_3,params_f_4,params_f_5,params_f_6,params_f_7,params_f_8,params_f_9,params_zscore_range,system_attrs_nsga2:generation,state
29,2048,2048,-0.6167664670658682,-0.5932203389830508,-0.0235461280828174,4.0,2023-07-12 18:51:17.368650,2023-07-12 18:51:17.449588,0 days 00:00:00.080938,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,90,40,COMPLETE
31,2973,2973,-0.6161971830985915,-0.5889830508474576,-0.0272141322511338,11.0,2023-07-12 21:30:50.397570,2023-07-12 21:30:50.498779,0 days 00:00:00.101209,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,100,59,COMPLETE
43,686,686,-0.6096256684491979,-0.5805084745762712,-0.0291171938729266,16.0,2023-07-12 16:40:02.108196,2023-07-12 16:40:02.168600,0 days 00:00:00.060404,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,83,13,COMPLETE
59,2874,2874,-0.606951871657754,-0.5889830508474576,-0.0179688208102963,12.0,2023-07-12 21:11:04.027118,2023-07-12 21:11:04.129186,0 days 00:00:00.102068,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,83,57,COMPLETE
64,1969,1969,-0.6050156739811913,-0.5847457627118644,-0.0202699112693268,6.0,2023-07-12 18:40:20.504249,2023-07-12 18:40:20.556563,0 days 00:00:00.052314,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,93,39,COMPLETE
70,1223,1223,-0.6018808777429467,-0.6186440677966102,-0.0167631900536634,14.0,2023-07-12 17:17:24.841960,2023-07-12 17:17:24.938406,0 days 00:00:00.096446,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,93,24,COMPLETE
79,1829,1829,-0.6017964071856288,-0.5847457627118644,-0.0170506444737643,3.0,2023-07-12 18:21:57.940821,2023-07-12 18:21:58.012197,0 days 00:00:00.071376,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,90,36,COMPLETE
90,3509,3509,-0.5989304812834224,-0.597457627118644,-0.0014728541647783,10.0,2023-07-12 23:31:26.631706,2023-07-12 23:31:26.719993,0 days 00:00:00.088287,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,83,70,COMPLETE
92,3540,3540,-0.5988023952095808,-0.5932203389830508,-0.0055820562265299,10.0,2023-07-12 23:39:07.330241,2023-07-12 23:39:07.438548,0 days 00:00:00.108307,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,90,70,COMPLETE
102,2476,2476,-0.5987654320987654,-0.5847457627118644,-0.014019669386901,3.0,2023-07-12 19:57:50.867380,2023-07-12 19:57:50.968433,0 days 00:00:00.101053,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,92,49,COMPLETE
103,2568,2568,-0.5987460815047022,-0.5847457627118644,-0.0140003187928378,3.0,2023-07-12 20:13:52.069657,2023-07-12 20:13:52.140146,0 days 00:00:00.070489,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,93,51,COMPLETE
112,2558,2558,-0.5985915492957746,-0.5847457627118644,-0.0138457865839102,6.0,2023-07-12 20:12:07.723504,2023-07-12 20:12:07.814622,0 days 00:00:00.091118,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,100,51,COMPLETE
120,2976,2976,-0.5962566844919787,-0.5932203389830508,-0.0030363455089278,7.0,2023-07-12 21:31:27.619847,2023-07-12 21:31:27.680629,0 days 00:00:00.060782,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,83,59,COMPLETE
122,1614,1614,-0.5958083832335329,-0.5889830508474576,-0.0068253323860753,6.0,2023-07-12 17:56:16.115243,2023-07-12 17:56:16.177559,0 days 00:00:00.062316,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,90,32,COMPLETE
128,3429,3429,-0.5956112852664577,-0.6059322033898306,-0.0103209181233728,12.0,2023-07-12 23:11:51.143836,2023-07-12 23:11:51.257870,0 days 00:00:00.114034,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,93,68,COMPLETE
