,number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_df_entry,params_t,params_t_exit,system_attrs_nsga2:generation,state
2930,2930,-2.999247753067832,-0.4881408258378603,-33687.0,2023-06-07 15:18:49.068018,2023-06-07 15:18:49.568362,0 days 00:00:00.500344,13,4,3,58,COMPLETE
2627,2627,-2.999247753067832,-0.4881408258378603,-33687.0,2023-06-07 15:11:19.709666,2023-06-07 15:11:20.176583,0 days 00:00:00.466917,13,4,3,52,COMPLETE
2940,2940,-2.9965869234301477,-0.4860266061668557,-38788.0,2023-06-07 15:19:05.842985,2023-06-07 15:19:06.377893,0 days 00:00:00.534908,12,4,3,58,COMPLETE
2829,2829,-2.949770988193146,-0.4847321223269717,-43490.0,2023-06-07 15:16:08.744780,2023-06-07 15:16:09.159561,0 days 00:00:00.414781,10,4,3,56,COMPLETE
1628,1628,-2.949770988193146,-0.4847321223269717,-43490.0,2023-06-07 14:50:35.440978,2023-06-07 14:50:36.024023,0 days 00:00:00.583045,10,4,3,32,COMPLETE
1883,1883,-2.949770988193146,-0.4847321223269717,-43490.0,2023-06-07 14:55:10.977435,2023-06-07 14:55:11.382484,0 days 00:00:00.405049,10,4,3,37,COMPLETE
1533,1533,-2.949770988193146,-0.4847321223269717,-43490.0,2023-06-07 14:48:47.078698,2023-06-07 14:48:47.539221,0 days 00:00:00.460523,10,4,3,30,COMPLETE
1353,1353,-2.949770988193146,-0.4847321223269717,-43490.0,2023-06-07 14:46:00.981364,2023-06-07 14:46:01.369381,0 days 00:00:00.388017,10,4,3,27,COMPLETE
3431,3431,-2.845340626124275,-0.49401254514350884,-21044.0,2023-06-07 15:32:40.703363,2023-06-07 15:32:41.106502,0 days 00:00:00.403139,19,4,3,68,COMPLETE
3178,3178,-2.845207632015066,-0.49023282635334825,-27746.0,2023-06-07 15:25:22.553054,2023-06-07 15:25:23.107948,0 days 00:00:00.554894,15,4,3,63,COMPLETE
3043,3043,-2.8081992990452203,-0.49489537824787305,-43490.0,2023-06-07 15:21:50.077447,2023-06-07 15:21:50.615444,0 days 00:00:00.537997,10,4,4,60,COMPLETE
2849,2849,-2.8081992990452203,-0.49489537824787305,-43490.0,2023-06-07 15:16:38.823591,2023-06-07 15:16:39.233777,0 days 00:00:00.410186,10,4,4,56,COMPLETE
2596,2596,-2.8081992990452203,-0.49489537824787305,-43490.0,2023-06-07 15:10:38.381145,2023-06-07 15:10:38.764886,0 days 00:00:00.383741,10,4,4,51,COMPLETE
2889,2889,-2.7963688467289294,-0.4601342735954618,-76858.0,2023-06-07 15:17:42.506120,2023-06-07 15:17:42.973481,0 days 00:00:00.467361,6,5,2,57,COMPLETE
1836,1836,-2.789983810580199,-0.4915281139637316,-25201.0,2023-06-07 14:54:15.432453,2023-06-07 14:54:15.807893,0 days 00:00:00.375440,17,4,3,36,COMPLETE
2724,2724,-2.789983810580199,-0.4915281139637316,-25201.0,2023-06-07 15:13:35.178782,2023-06-07 15:13:35.593839,0 days 00:00:00.415057,17,4,3,54,COMPLETE
3265,3265,-2.789983810580199,-0.4915281139637316,-25201.0,2023-06-07 15:27:53.461417,2023-06-07 15:27:53.854926,0 days 00:00:00.393509,17,4,3,65,COMPLETE
1542,1542,-2.789983810580199,-0.4915281139637316,-25201.0,2023-06-07 14:48:55.510326,2023-06-07 14:48:55.880481,0 days 00:00:00.370155,17,4,3,30,COMPLETE
1346,1346,-2.789983810580199,-0.4915281139637316,-25201.0,2023-06-07 14:45:54.997536,2023-06-07 14:45:55.359193,0 days 00:00:00.361657,17,4,3,26,COMPLETE
1942,1942,-2.789983810580199,-0.4915281139637316,-25201.0,2023-06-07 14:56:23.181720,2023-06-07 14:56:23.689771,0 days 00:00:00.508051,17,4,3,38,COMPLETE
3099,3099,-2.7745040104389904,-0.49209145427286355,-26680.0,2023-06-07 15:23:22.262214,2023-06-07 15:23:22.658228,0 days 00:00:00.396014,18,5,3,61,COMPLETE
3338,3338,-2.769466924035445,-0.4660577585159383,-49378.0,2023-06-07 15:30:02.135536,2023-06-07 15:30:02.636030,0 days 00:00:00.500494,10,5,2,66,COMPLETE
1891,1891,-2.742274219078228,-0.49150785690404547,-29910.0,2023-06-07 14:55:20.248319,2023-06-07 14:55:20.662624,0 days 00:00:00.414305,17,5,3,37,COMPLETE
1548,1548,-2.742274219078228,-0.49150785690404547,-29910.0,2023-06-07 14:49:01.360603,2023-06-07 14:49:01.813535,0 days 00:00:00.452932,17,5,3,30,COMPLETE
1151,1151,-2.742274219078228,-0.49150785690404547,-29910.0,2023-06-07 14:42:56.224526,2023-06-07 14:42:56.612788,0 days 00:00:00.388262,17,5,3,23,COMPLETE
1252,1252,-2.742274219078228,-0.49150785690404547,-29910.0,2023-06-07 14:44:26.309575,2023-06-07 14:44:26.735890,0 days 00:00:00.426315,17,5,3,25,COMPLETE
1447,1447,-2.742274219078228,-0.49150785690404547,-29910.0,2023-06-07 14:47:24.413580,2023-06-07 14:47:24.838731,0 days 00:00:00.425151,17,5,3,28,COMPLETE
1881,1881,-2.742274219078228,-0.49150785690404547,-29910.0,2023-06-07 14:55:08.607327,2023-06-07 14:55:09.017508,0 days 00:00:00.410181,17,5,3,37,COMPLETE
420,420,-2.742274219078228,-0.49150785690404547,-29910.0,2023-06-07 14:34:41.561215,2023-06-07 14:34:41.901388,0 days 00:00:00.340173,17,5,3,8,COMPLETE
